BasketType,x,y
S,-73.91681942,40.65465237
S,-73.95419618,40.73104188
S,-73.91127359,40.65723743
S,-73.94864898,40.71099129
S,-73.91730814,40.65466421
S,-73.94238297,40.71157956
S,-73.91397793,40.671696
S,-73.95443574,40.73247036
S,-73.91946448,40.66082169
S,-73.94355547,40.7081872
H,-73.92001871,40.66132612
S,-73.94313402,40.70823649
S,-73.92659935,40.66234982
S,-73.90992283,40.65574402
S,-73.94472022,40.71790011
S,-73.94580647,40.71160027
S,-73.9268688,40.6625443
S,-73.92712977,40.66237783
S,-73.9429994,40.7074929
H,-73.92018301,40.6608879
S,-73.91656266,40.67414482
S,-73.94490091,40.71642283
H,-73.92155017,40.66406457
S,-73.92067923,40.6605913
S,-73.91671553,40.67236577
S,-73.92114632,40.66062053
S,-73.91393635,40.67556685
S,-73.91426016,40.6720118
S,-73.95476534,40.73215657
S,-73.92154214,40.66000214
S,-73.91670471,40.67568712
S,-73.91132866,40.67386641
S,-73.91830798,40.6657419
S,-73.9113278,40.68159862
S,-73.95522273,40.73499961
S,-73.91105837,40.6604488
S,-73.91378463,40.67398438
S,-73.96202326,40.70998383
H,-73.92533309,40.65788333
S,-73.91155024,40.68107488
S,-73.96238532,40.7100987
S,-73.92182085,40.65985929
S,-73.91842254,40.66606891
S,-73.95992164,40.7133644
S,-73.94498329,40.71677495
H,-73.91978335,40.66232006
S,-73.91375461,40.67423213
S,-73.91124477,40.68111154
S,-73.91121912,40.68085616
S,-73.92203674,40.66004341
S,-73.95509915,40.70112698
S,-73.91784528,40.66616465
S,-73.95111867,40.70904918
S,-73.95952815,40.71357688
S,-73.91640431,40.6756701
S,-73.95875314,40.71464009
S,-73.9140328,40.6815645
S,-73.92247265,40.65974439
S,-73.92227112,40.65955669
S,-73.91369194,40.67980569
S,-73.91678115,40.67522583
S,-73.909881,40.66702026
S,-73.916879,40.67094802
S,-73.92272208,40.65958191
S,-73.95914985,40.71470528
S,-73.91641786,40.67521569
H,-73.9213015,40.66369618
S,-73.95438551,40.73218697
S,-73.91678155,40.67489983
S,-73.95887596,40.71496687
S,-73.9144782,40.68227778
H,-73.92254239,40.65937755
S,-73.91647018,40.67487985
S,-73.9232233,40.65929338
S,-73.95472124,40.73433396
S,-73.91650968,40.67441558
S,-73.91131555,40.67408485
B,-73.91145528,40.66973034
S,-73.91418285,40.68228827
S,-73.91683406,40.67441582
S,-73.92345159,40.65911835
S,-73.90742188,40.66869309
S,-73.91141347,40.66941344
S,-73.9110912,40.68037099
S,-73.91686036,40.67412936
S,-73.92296229,40.65908637
S,-73.9117965,40.66933135
S,-73.90750434,40.66898134
S,-73.9126327,40.65735758
S,-73.91670657,40.67260793
S,-73.92637712,40.66284194
S,-73.92481285,40.66072413
S,-73.91139814,40.68031438
S,-73.92391301,40.6588165
S,-73.95217502,40.70663709
B,-73.91236357,40.66924718
S,-73.9254299,40.65259168
S,-73.91681047,40.67144983
S,-73.91400238,40.67479285
S,-73.90775312,40.66864595
S,-73.92371194,40.65862478
S,-73.95467753,40.73173548
S,-73.91272028,40.66918424
S,-73.91134578,40.68009115
S,-73.95518011,40.73457679
H,-73.9200133,40.66263527
S,-73.9078409,40.66893052
S,-73.92396796,40.65845909
S,-73.91115602,40.67230454
S,-73.91460468,40.68297193
S,-73.92733771,40.66189332
S,-73.91105972,40.6801386
S,-73.92418537,40.65865423
H,-73.90835286,40.66857243
S,-73.9112555,40.67463428
S,-73.91107059,40.67292298
S,-73.91500031,40.66144713
B,-73.91467182,40.66888895
S,-73.91094702,40.6796354
S,-73.92576208,40.6522514
S,-73.91126086,40.67962729
S,-73.911468,40.67232918
S,-73.90840506,40.66884313
S,-73.91678468,40.67172671
S,-73.92442611,40.65816588
S,-73.90870197,40.66852645
S,-73.92621004,40.659808
S,-73.95429826,40.731759
S,-73.95447607,40.70057489
S,-73.95485265,40.73499922
B,-73.91518076,40.66882312
S,-73.95002853,40.72378314
S,-73.91141242,40.67277477
S,-73.92760944,40.66172602
S,-73.95260945,40.70675013
S,-73.91120351,40.67936827
S,-73.92464118,40.65835223
S,-73.90875267,40.66879623
B,-73.91425811,40.66895135
S,-73.95462733,40.73144227
S,-73.92581401,40.6525692
S,-73.9197838,40.67252949
B,-73.91555663,40.66878211
S,-73.91104446,40.67345649
S,-73.91093276,40.67462417
S,-73.9246738,40.65799706
S,-73.91443637,40.68350399
S,-73.95528463,40.73527629
S,-73.95604512,40.70245318
S,-73.91083159,40.67891792
S,-73.91610081,40.66868342
S,-73.92901534,40.65852461
S,-73.91097802,40.67384048
S,-73.95391938,40.71046288
S,-73.92780464,40.66190947
S,-73.90926754,40.66842258
S,-73.92488355,40.65819223
S,-73.92634578,40.65219526
S,-73.91586643,40.66133475
S,-73.91104867,40.67864459
H,-73.90930912,40.66870893
S,-73.93981781,40.65110753
S,-73.91078099,40.67867082
H,-73.95636682,40.70226638
S,-73.93084492,40.65392215
S,-73.95429073,40.73149182
H,-73.92308718,40.66542243
S,-73.91185841,40.68255646
S,-73.91137354,40.67321114
