License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
1003329,CLUB LIQUOR,243,CL,New York,1,BRONX,WILLIAM E IRWIN JR,POST 774 AMERICAN LEGION INC,3035 37 CORLEAR AVE,,BRONX,NY,10463,857813,,03/01/2016,02/28/2018,40.8795071895,-73.9085864927,"(40.8795071895, -73.9085864927)"
1003335,CLUB LIQUOR,243,CL,New York,1,BRONX,AMERICAN TURNERS NEW YORK INC,,748 CLARENCE AVENUE,,BRONX,NY,10465,850278,,07/01/2015,06/30/2017,40.8304162369,-73.8156697685,"(40.8304162369, -73.8156697685)"
1003336,CLUB LIQUOR,243,CL,New York,1,BRONX,AMPERE FISHING & YACHT CLUB INC,,1610 BAYSHORE AVE,,BRONX,NY,10465,857871,10/17/2001,03/01/2016,02/28/2018,40.8463327211,-73.8163499741,"(40.8463327211, -73.8163499741)"
1003348,CLUB LIQUOR,243,CL,New York,1,BRONX,PRIMROSE CRICKET CLUB INC,,3836 WHITE PLAINS ROAD,,BRONX,NY,10467,859585,09/04/1979,04/05/2016,02/28/2018,40.8846156943,-73.8622450608,"(40.8846156943, -73.8622450608)"
1003349,CLUB LIQUOR,243,CL,New York,1,BRONX,WEMBLEY ATHLETIC CLUB INC,,550 E 239TH STREET,,BRONX,NY,10470,857127,09/03/1976,03/01/2016,02/28/2018,40.901652992,-73.856753288,"(40.901652992, -73.856753288)"
1003571,LIQUOR STORE,222,L,New York,1,BRONX,EHE LIQUOR CORP,,327 E 158TH STREET,,BRONX,NY,10451,875606,,03/01/2016,02/28/2019,40.8230048584,-73.9169727724,"(40.8230048584, -73.9169727724)"
1003582,LIQUOR STORE,222,L,New York,1,BRONX,C & E SPIRITS & WINES INC,,88 E 167TH STREET,,BRONX,NY,10452,860346,,09/01/2014,08/31/2017,40.8351932215,-73.9198881784,"(40.8351932215, -73.9198881784)"
1003594,LIQUOR STORE,222,L,New York,1,BRONX,7 EAST MT EDEN LIQUOR INC,,7 E MOUNT EDEN AVENUE,,BRONX,NY,10452,828909,,06/01/2014,05/31/2017,40.8443215623,-73.9145249655,"(40.8443215623, -73.9145249655)"
1003595,LIQUOR STORE,222,L,New York,1,BRONX,BENIGNO LEONEL DE LOS SANTOS,MONTE CARLO WINE & LIQ STR,119 E BURNSIDE AVENUE,,BRONX,NY,10453,874955,,01/01/2016,12/31/2018,40.8530979488,-73.905311532,"(40.8530979488, -73.905311532)"
1003602,LIQUOR STORE,222,L,New York,1,BRONX,WEST BRONX WINES & LIQUORS INC,WEST BRONX LIQUOR STORE,11 1/2 W 183RD STREET,,BRONX,NY,10453,857296,,06/01/2015,05/31/2018,40.8586190011,-73.9044844778,"(40.8586190011, -73.9044844778)"
