CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
174978278,01/01/2016,23:00:00,01/03/2017,07:30:00,01/03/2017,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,44,,STREET,,,1003990,245248,40.839810529,-73.928660458,"(40.839810529, -73.928660458)"
386949094,01/02/2016,23:15:00,01/02/2017,23:20:00,01/02/2017,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,CASTLE HILL,1025580,236918,40.816872438,-73.850684927,"(40.816872438, -73.850684927)"
138190254,01/05/2016,12:00:00,03/28/2017,00:59:00,03/28/2017,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,40,INSIDE,RESIDENCE - APT. HOUSE,,,1004480,232829,40.805722788,-73.926927022,"(40.805722788, -73.926927022)"
181113305,01/16/2016,14:00:00,,,03/29/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,46,INSIDE,CLOTHING/BOUTIQUE,,,1013494,253347,40.862013514,-73.894277397,"(40.862013514, -73.894277397)"
449664187,01/20/2016,11:00:00,02/06/2017,10:00:00,02/06/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. HOUSING POLICE,BRONX,40,INSIDE,RESIDENCE - PUBLIC HOUSING,,,1009319,235601,40.813318753,-73.909437335,"(40.813318753, -73.909437335)"
355427820,01/27/2016,07:39:00,01/27/2017,07:45:00,01/27/2017,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,49,,STREET,,,1020905,253117,40.861354575,-73.867486153,"(40.861354575, -73.867486153)"
600685055,01/29/2016,19:00:00,,,01/30/2017,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,46,,STREET,,,1012716,250857,40.855181758,-73.897100624,"(40.855181758, -73.897100624)"
899748862,01/30/2016,15:00:00,02/27/2017,15:00:00,02/27/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,44,INSIDE,RESIDENCE - APT. HOUSE,,,1005080,246456,40.843123632,-73.924717412,"(40.843123632, -73.924717412)"
268361403,01/31/2016,13:20:00,02/07/2017,10:00:00,02/07/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,49,INSIDE,RESIDENCE - APT. HOUSE,,,1020165,246201,40.842375266,-73.870198448,"(40.842375266, -73.870198448)"
869441961,02/03/2016,13:06:00,02/03/2017,13:16:00,02/03/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,40,FRONT OF,STREET,,,1004390,233361,40.807183186,-73.927250522,"(40.807183186, -73.927250522)"
871901437,02/06/2016,00:30:00,,,02/06/2017,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,44,,STREET,,,1003990,245248,40.839810529,-73.928660458,"(40.839810529, -73.928660458)"
598043014,02/16/2016,12:34:00,12/16/2016,13:06:00,02/01/2017,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,52,,STREET,,,1018575,257509,40.873418635,-73.87588707,"(40.873418635, -73.87588707)"
711627312,02/20/2016,12:00:00,02/06/2017,14:30:00,02/08/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43,,RESIDENCE - APT. HOUSE,,,1024731,243963,40.836212863,-73.853709673,"(40.836212863, -73.853709673)"
882516281,02/23/2016,17:30:00,02/17/2017,13:00:00,02/17/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,41,INSIDE,RESIDENCE - APT. HOUSE,,,1011581,235322,40.812546267,-73.90126679,"(40.812546267, -73.90126679)"
861172992,02/24/2016,20:00:00,02/24/2017,20:05:00,02/26/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,46,INSIDE,RESIDENCE - APT. HOUSE,,,1009972,250006,40.852854438,-73.907023079,"(40.852854438, -73.907023079)"
482523033,02/24/2016,12:00:00,02/24/2017,13:24:00,02/24/2017,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,42,FRONT OF,RESIDENCE-HOUSE,,,1009859,241587,40.829747076,-73.907463693,"(40.829747076, -73.907463693)"
980063682,02/27/2016,06:45:00,,,02/27/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,44,INSIDE,RESIDENCE - APT. HOUSE,,,1004017,242094,40.831153652,-73.928572172,"(40.831153652, -73.928572172)"
606339528,03/05/2016,10:00:00,03/05/2017,17:00:00,03/06/2017,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,50,OPPOSITE OF,STREET,,,1014207,261276,40.883773783,-73.891664283,"(40.883773783, -73.891664283)"
926019903,03/14/2016,23:00:00,03/15/2017,14:30:00,03/15/2017,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,44,INSIDE,RESIDENCE - APT. HOUSE,,,1004733,245676,40.840983572,-73.925973925,"(40.840983572, -73.925973925)"
774978689,03/16/2016,01:00:00,03/18/2016,08:00:00,03/18/2017,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43,INSIDE,RESIDENCE-HOUSE,,,1017926,239846,40.824941458,-73.878322473,"(40.824941458, -73.878322473)"
